Message,Positive,Negative,Neutral,Compound
,,,,
"Even after Hurricane Harvey's immediate threat of flooding goes away, Texas residents will face a host of health problems from the water and from what it leaves behind.",0,0.196,0.804,-0.7269
,,,,
"In a worst case scenario, the national average could get as high as $2.75 a gallon, according to an oil analyst",0,0.186,0.814,-0.6249
,,,,
"On the first day of the new school year in Russia, students learned an important lesson directly from their president -- who he thinks will rule the world.",0.062,0,0.938,0.2023
,,,,
Salt Lake City police apologize for arresting a Utah nurse who refused to draw blood from an unconscious patient http://cnn.it/2wtRJvV,0.068,0.107,0.825,-0.2023
,,,,
"""We are not his subordinates. We don't answer to him. We answer to the American people,"" Sen. John McCain said of President Donald J. Trump, calling for bipartisan cooperation in Congress",0,0,1,0
,,,,
"The United States Department of Justice says it has no evidence to support President Donald J. Trump's assertion in March that his predecessor, Barack Obama, wiretapped the phones in Trump Tower before last year's election.",0.211,0.052,0.736,0.7717
,,,,
"They nearly died in Katrina. In Houston, they meet the man who made a difference.",0,0.217,0.783,-0.5574
,,,,
"""It's good exercise"": President Donald J. Trump helps load relief supplies into a truck at a church in Houston during his tour of Hurricane Harvey damage http://cnn.it/2gsPAY6",0.262,0.098,0.64,0.6597
,,,,
"Imagine hovering 200 miles above earth while your family, friends and coworkers are tormented by a gruesome storm that took lives and destroyed homes.",0.114,0.117,0.769,-0.0258
,,,,
How Harvey washed away partisanship: CNN's Michael Smerconish sees Harvey heroism as an 'American Dunkirk' http://cnn.it/2gt2oh3,0.202,0,0.798,0.5859
,,,,
President Donald J. Trump hugs a little girl who ran up to him as he is in Texas and Louisiana this afternoon meeting with volunteers and people impacted by Hurricane Harvey http://cnn.it/2et64Pn,0.096,0,0.904,0.4939
,,,,
"But where are you really from? It's a question that many people get asked every day. 2,000 Americans respond to the question that annoys them the most. cnn.com/WhereImReallyFrom",0,0.097,0.903,-0.4215
,,,,
"When he first saw it in his living room, he thought his wife might have been playing a trick on him with a fake alligator.",0.069,0.165,0.766,-0.3612
,,,,
"About 200 homes were evacuated Friday after a brush fire broke out near Los Angeles, sending massive plumes of smokes into the air and shutting down an interstate highway http://cnn.it/2gsQ0h4",0,0.161,0.839,-0.6369
,,,,
"To reach safety, many people waded through the murky water, in some cases for hours. Now, scientists are concerned about what might be in it.",0.145,0,0.855,0.4404
,,,,
"""Serena Williams won a new title on Day 5 at the #USOpen: Mom,"" the US Open Tennis Championships said on Twitter.",0.289,0,0.711,0.7845
,,,,
President Donald J. Trump gets a second chance today at the post-natural disaster presidential visit.,0.11,0.227,0.663,-0.4767
,,,,
“I want a boat like you so I can help people when I grow up”: Little boy reconnects with the man who rescued his family after flooding from Harvey http://cnn.it/2gqP38P,0.294,0,0.706,0.8214
,,,,
It was supposed to be $100,0,0,1,0
,,,,
• India • Bangladesh • Sierra Leone • Nigeria • Nepal • Pakistan,0,0,1,0
,,,,
"A week after Hurricane Harvey slammed into the Texas coast, many are bracing for yet more rising water levels.",0,0,1,0
,,,,
Doctors first said she was psychotic,0,0,1,0
,,,,
The toll that Harvey is taking on Texas is staggering.,0,0,1,0
,,,,
"Salt Lake City police apologized for arresting the nurse, who refused to draw blood from a patient.",0.124,0.119,0.757,0.0258
,,,,
"""We are watching an enormous disaster in what feels like slow motion""",0.151,0.247,0.602,-0.3818
,,,,
,0,0,0,0
,,,,
16 would-be beauty queens from across India helped to make history,0.275,0,0.725,0.5859
,,,,
"40 years ago, NASA launched two spacecrafts from Earth. 10 billion miles later, they still communicate back from the interstellar frontier. http://cnn.it/2vu9EUa",0.067,0,0.933,0.128
,,,,
The drug aims to give patients a second chance after first-line drugs have failed,0.123,0.202,0.675,-0.3182
,,,,
"Each year in the US, flooding is deadlier than hurricanes, tornadoes or lightning.",0,0,1,0
,,,,
Who Putin thinks will rule the world,0,0,1,0
,,,,
"Donald J. Trump's DACA decision could cost thousands of jobs, study says http://cnn.it/2wJNyNa",0,0,1,0
,,,,
"About 200 homes were evacuated Friday after a brush fire broke out near Los Angeles, sending massive plumes of smoke into the air and shutting down an interstate highway, a fire department spokeswoman says.",0,0.208,0.792,-0.765
,,,,
"Tropical Storm Harvey is knocking yet more Gulf Coast refineries offline, raising the risk of higher gasoline prices",0,0.184,0.816,-0.3818
,,,,
Few details are known as Donald J. Trump launches tax reform push http://cnn.it/2vFGQnL,0,0,1,0
,,,,
"In 2011, a 2-year-old caught the world's attention for his smoking habit. Today, he is cured of his addiction, but millions of children have taken up the habit",0,0,1,0
,,,,
"For the 1.8 billion Muslims around the world, the Hajj is a spiritual pinnacle.",0,0,1,0
,,,,
They've been making wine for a lot longer than previously thought,0,0,1,0
,,,,
Meet Whang Od Oggay: The Philippines' oldest tattoo artist http://cnn.it/2vH9Fnv,0,0,1,0
,,,,
A British cycling magazine has issued an effusive apology for a sexist caption in its latest issue,0.079,0,0.921,0.0516
,,,,
NFL player J.J. Watt keeps surpassing Harvey relief goal: 'I'm with them for the long haul' http://cnn.it/2vyRMHR,0.162,0,0.838,0.4767
