"id","parent_id","level","objectid","objecttype","querystatus","querytime","querytype","name","message","type","metadata.type","talking_about_count","likes","likes.count","shares.count","comments.count","created_time","updated_time"
"2","1","1","5550296508","data","fetched (200)","2017-09-02 16:34:32.074000","Facebook:<page>","CNN","","","","","","","","","",""
"3","2","2","5550296508_10157258568851509","data","fetched (200)","2017-09-02 16:34:56.502000","Facebook:<page>/posts","","Even after Hurricane Harvey's immediate threat of flooding goes away, Texas residents will face a host of health problems from the water and from what it leaves behind.","","","","","","","","2017-09-02T23:00:49+0000",""
"4","2","2","5550296508_10157258466966509","data","fetched (200)","2017-09-02 16:34:56.502000","Facebook:<page>/posts","","In a worst case scenario, the national average could get as high as $2.75 a gallon, according to an oil analyst","","","","","","","","2017-09-02T22:25:26+0000",""
"5","2","2","5550296508_10157258363126509","data","fetched (200)","2017-09-02 16:34:56.502000","Facebook:<page>/posts","","On the first day of the new school year in Russia, students learned an important lesson directly from their president -- who he thinks will rule the world.","","","","","","","","2017-09-02T21:51:23+0000",""
"6","2","2","5550296508_10157258198141509","data","fetched (200)","2017-09-02 16:34:56.502000","Facebook:<page>/posts","","Salt Lake City police apologize for arresting a Utah nurse who refused to draw blood from an unconscious patient http://cnn.it/2wtRJvV","","","","","","","","2017-09-02T21:15:38+0000",""
"7","2","2","5550296508_10157258062461509","data","fetched (200)","2017-09-02 16:34:56.502000","Facebook:<page>/posts","","""We are not his subordinates. We don't answer to him. We answer to the American people,"" Sen. John McCain said of President Donald J. Trump, calling for bipartisan cooperation in Congress","","","","","","","","2017-09-02T20:45:08+0000",""
"8","2","2","5550296508_10157257931371509","data","fetched (200)","2017-09-02 16:34:56.502000","Facebook:<page>/posts","","The United States Department of Justice says it has no evidence to support President Donald J. Trump's assertion in March that his predecessor, Barack Obama, wiretapped the phones in Trump Tower before last year's election.","","","","","","","","2017-09-02T20:15:05+0000",""
"9","2","2","5550296508_10157257828931509","data","fetched (200)","2017-09-02 16:34:56.502000","Facebook:<page>/posts","","They nearly died in Katrina. In Houston, they meet the man who made a difference.","","","","","","","","2017-09-02T19:45:13+0000",""
"10","2","2","5550296508_10157257705511509","data","fetched (200)","2017-09-02 16:34:56.502000","Facebook:<page>/posts","","""It's good exercise"": President Donald J. Trump helps load relief supplies into a truck at a church in Houston during his tour of Hurricane Harvey damage http://cnn.it/2gsPAY6","","","","","","","","2017-09-02T19:15:35+0000",""
"11","2","2","5550296508_10157257611111509","data","fetched (200)","2017-09-02 16:34:56.502000","Facebook:<page>/posts","","Imagine hovering 200 miles above earth while your family, friends and coworkers are tormented by a gruesome storm that took lives and destroyed homes.","","","","","","","","2017-09-02T18:45:19+0000",""
"12","2","2","5550296508_10157257461996509","data","fetched (200)","2017-09-02 16:34:56.502000","Facebook:<page>/posts","","How Harvey washed away partisanship: CNN's Michael Smerconish sees Harvey heroism as an 'American Dunkirk' http://cnn.it/2gt2oh3","","","","","","","","2017-09-02T18:01:11+0000",""
"13","2","2","5550296508_10157257367181509","data","fetched (200)","2017-09-02 16:34:56.502000","Facebook:<page>/posts","","President Donald J. Trump hugs a little girl who ran up to him as he is in Texas and Louisiana this afternoon meeting with volunteers and people impacted by Hurricane Harvey http://cnn.it/2et64Pn","","","","","","","","2017-09-02T17:35:57+0000",""
"14","2","2","5550296508_10157257254441509","data","fetched (200)","2017-09-02 16:34:56.502000","Facebook:<page>/posts","","But where are you really from? It's a question that many people get asked every day. 2,000 Americans respond to the question that annoys them the most. cnn.com/WhereImReallyFrom","","","","","","","","2017-09-02T17:01:06+0000",""
"15","2","2","5550296508_10157257134681509","data","fetched (200)","2017-09-02 16:34:56.502000","Facebook:<page>/posts","","When he first saw it in his living room, he thought his wife might have been playing a trick on him with a fake alligator.","","","","","","","","2017-09-02T16:21:04+0000",""
"16","2","2","5550296508_10157257083106509","data","fetched (200)","2017-09-02 16:34:56.502000","Facebook:<page>/posts","","About 200 homes were evacuated Friday after a brush fire broke out near Los Angeles, sending massive plumes of smokes into the air and shutting down an interstate highway http://cnn.it/2gsQ0h4","","","","","","","","2017-09-02T16:06:43+0000",""
"17","2","2","5550296508_10157256976566509","data","fetched (200)","2017-09-02 16:34:56.502000","Facebook:<page>/posts","","To reach safety, many people waded through the murky water, in some cases for hours. Now, scientists are concerned about what might be in it.","","","","","","","","2017-09-02T15:30:35+0000",""
"18","2","2","5550296508_10157256886996509","data","fetched (200)","2017-09-02 16:34:56.502000","Facebook:<page>/posts","","""Serena Williams won a new title on Day 5 at the #USOpen: Mom,"" the US Open Tennis Championships said on Twitter.","","","","","","","","2017-09-02T15:00:51+0000",""
"19","2","2","5550296508_10157256770391509","data","fetched (200)","2017-09-02 16:34:56.502000","Facebook:<page>/posts","","President Donald J. Trump gets a second chance today at the post-natural disaster presidential visit.","","","","","","","","2017-09-02T14:30:08+0000",""
"20","2","2","5550296508_10157256678976509","data","fetched (200)","2017-09-02 16:34:56.502000","Facebook:<page>/posts","","“I want a boat like you so I can help people when I grow up”: Little boy reconnects with the man who rescued his family after flooding from Harvey http://cnn.it/2gqP38P","","","","","","","","2017-09-02T14:00:45+0000",""
"21","2","2","5550296508_10157253444941509","data","fetched (200)","2017-09-02 16:34:56.502000","Facebook:<page>/posts","","It was supposed to be $100","","","","","","","","2017-09-02T13:30:24+0000",""
"22","2","2","5550296508_10157256442826509","data","fetched (200)","2017-09-02 16:34:56.502000","Facebook:<page>/posts","","• India • Bangladesh • Sierra Leone • Nigeria • Nepal • Pakistan","","","","","","","","2017-09-02T13:00:41+0000",""
"23","2","2","5550296508_10157256387311509","data","fetched (200)","2017-09-02 16:34:56.502000","Facebook:<page>/posts","","A week after Hurricane Harvey slammed into the Texas coast, many are bracing for yet more rising water levels.","","","","","","","","2017-09-02T12:42:01+0000",""
"24","2","2","5550296508_10157244661561509","data","fetched (200)","2017-09-02 16:34:56.502000","Facebook:<page>/posts","","Doctors first said she was psychotic","","","","","","","","2017-09-02T12:30:02+0000",""
"25","2","2","5550296508_10157253055286509","data","fetched (200)","2017-09-02 16:34:56.502000","Facebook:<page>/posts","","The toll that Harvey is taking on Texas is staggering.","","","","","","","","2017-09-02T12:00:36+0000",""
"26","2","2","5550296508_10157256267866509","data","fetched (200)","2017-09-02 16:34:56.502000","Facebook:<page>/posts","","Salt Lake City police apologized for arresting the nurse, who refused to draw blood from a patient.","","","","","","","","2017-09-02T12:00:06+0000",""
